Artificial Intelligence ,AI,A,,8:30-9:25$Room-305,,8:30-9:25$Room-229,8:30-9:25$Room-305
Artificial Intelligence ,AI,B,,9:30-10:25$Room-310,,9:30-10:25$Room-229,09:30-10:25$Room-310
Artificial Intelligence ,AI,C,,10:30-11:25$Room-310,,10:30-11:25$Room-230,10:30-11:25$Room-310
Artificial Intelligence ,AI,D,,11:50-12:45$Room-315,,11:50-12:45$Room-316,11:50-12:45$Room-311
Artificial Intelligence ,AI,E,,9:30-10:25$Room-315,,12:50-1:45$Room-316,9:30-10:25$Room-315
Artificial Intelligence ,AI,F,,8:30-9:25$Room-316,,11:50-12:45$Room-227,8:30-9:25$Room-316
Human Computer Interaction ,HCI,A,,10:30-11:25$Room-305,,10:30-11:25$Room-229,10:30-11:25$Room-305
Human Computer Interaction ,HCI,B,,8:30-9:25$Room-310,,8:30-9:25$Room-230,9:30-10:25$Room-310
Human Computer Interaction ,HCI,C,,9:30-10:25$Room-305,,9:30-10:25$Room-230,9:30-10:25$Room-305
Human Computer Interaction ,HCI,D,,10:30-11:25$Room-315,,10:30-11:25$Room-Margallah Lab,10:30-11:25$Room-315
Human Computer Interaction ,HCI,E,,8:30-9:25$Room-315,,11:50-12:45$Room-229,8:30-9:25$Room-315
Human Computer Interaction ,HCI,F,,9:30-10:25$Room-316,,8:30-9:25$Room-301,9:30-10:25$Room-227
Deep Learning For Perception ,Deep Learning,,,1:00-2:15$Room-311,2:30-3:55$Room-305,,
Software for Mobile Devices ,SMD,A,9:00-10:30$Room-230,,9:00-10:20$EE-230,,
Software for Mobile Devices ,SMD,B,11:30-12:50$Room-230,,11:30-12:50$EE-230,,
Software for Mobile Devices ,SMD,C,1:00-2:20$Room-230,,1:00-2:20$EE-230,,
Software for Mobile Devices Lab (Non Rgistered Lab),SMD LAB,A,11:30-2:25$Karakuram Lab,,,,
Software for Mobile Devices Lab (Non Rgistered Lab),SMD LAB,B,8:30-11:25$Karakuram Lab,,,,
Software for Mobile Devices Lab (Non Rgistered Lab),SMD LAB,C,,,8:30-11:25$Khyber-II,,
Leadership,Leadership,D,2:30-3:55$Room-315,2:30-3:55$Room-227,,,
Leadership,Leadership,E,,,,2:00-3:25$Room-305,2:00-3:25$Room-302
Leadership,Leadership,F,,,,3:30-4:55$Room-305,3:30-4:55$Room-302