Artificial Intelligence ,AI,A,B,C,D,E,F,,,,,,
Human Computer Interaction ,HCI,A,B,C,D,E,F,,,,,,
Software for Mobile Devices ,SMD,A,B,C,,,,,,,,,
Software for Mobile Devices Lab (Non Rgistered Lab),SMD LAB,A,B,C,,,,,,,,,
Leadership,Leadership,D,E,F,,,,,,,,,
Data Warehousing,DWH,A,B,C,,,,,,,,,
Data Warehousing Lab (Non Registered Lab),DWH LAB,A,B,C,,,,,,,,,
Enterprise Information System,EIS,A,,,,,,,,,,,
Deep Learning For Perception ,Deep Learning,A,,,,,,,,,,,
Cryptography and Data Security ,Crypto graphy,A,,,,,,,,,,,
Applied Programming,App Prog,X,Y,,,,,,,,,,
Advanced Computer Networks ,Adv Cnet,X,Y,,,,,,,,,,
Advanced Operating Systems ,Adv. OS,X,Y,,,,,,,,,,
Adv. Computer Architecture ,ACA,Y,,,,,,,,,,,
Machine Learning ,ML,Y,,,,,,,,,,,
Deep Learning For Perception ,Deep Learning,Y,,,,,,,,,,,
Introduction to BioInformatics ,Bio Informatic,Y,,,,,,,,,,,
Software Architecture ,Software Archt,X,,,,,,,,,,,
Statistical and Math ,Stats & Math,X,,,,,,,,,,,
Intro to Info. & Comm. Technologies. ,IICT,A,B,C,D,E,F,,,,,,
Calculus & Analytical Geometry ,Cal,A,B,C,D,E,F,G,,,,,
English Composition & Comprehension ,English,A,B,C,D,E,F,G,,,,,
English Composition & Comprehension Lab ,English Lab,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2
Discrete Structures,Discrete,A,B,C,D,E,F,G,,,,,
Calculus II,Cal-II ,A,,,,,,,,,,,
Digital Logic Design,DLD ,A,,,,,,,,,,,
Digital Logic Design Lab,DLD Lab ,A1,A2,,,,,,,,,,
Probability & Statistics ,Prob,A,B,C,D,E,F,,,,,,
Fundamentals Of Management ,Management,A,B,C,,,,,,,,,
Principles Of Marketing ,Marketing,D,E,F,,,,,,,,,
Entrepreneurship ,Entrep,A,B,C,,,,,,,,,
Programming Fundamentals,PF,A,B,C,D,E,F,G,,,,,
Programming Fundamentals Lab,PF LAB,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2
Data Structures,DS,A,B,C,D,E,F,,,,,,
Data Structures Lab,Data St Lab,A,B,C,D,E,F,,,,,,
Comp. Organization & Assembly Language,COAL,A,B,C,D,E,F,,,,,,
Comp. Organization & Assembly Language Lab ,COAL LAB,A,B,C,D,E,F,,,,,,
Computer Programming,CP,A,B,,,,,,,,,,
Computer Porgramming Lab ,CP LAB,A,B,,,,,,,,,,
Theory of Automata ,Automata,A,B,C,D,E,F,,,,,,
Computer Networks,C.Net,A,B,C,D,E,F,,,,,,
Computer Networks Lab,C.Net Lab,A,B,C,D,E,F,,,,,,
Object Oriented Analysis & Design ,OOAD,A,B,C,D,E,F,,,,,,
Object Oriented Analysis & Design Lab ,OOAD LAB,A,B,C,D,E,F,,,,,,
Advanced Programming,AP,A,B,C,,,,,,,,,
Advanced Programming Lab (Non Registered Lab),AP LAB,A,B,C,,,,,,,,,
Introduction to BioInformatics,Bio Informatic,A,,,,,,,,,,,
Digital Image Processing,DIP,A,,,,,,,,,,,
Digital Image Processing Lab (Non registered Lab),DIP LAB,A,,,,,,,,,,,
Natural Language Processing ,NLP,A,,,,,,,,,,,
Computer Architecture ,CA,A,B,,,,,,,,,,